GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,ObjetoEstado,94,3,12,0,31,2,22,1,16,1
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Estado,87,3,12,0,28,2,20,1,14,1
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Objeto,101,3,12,0,34,2,24,1,18,1
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Ruta,80,3,12,0,25,2,18,1,12,1
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,TipoObjeto,25,58,7,5,8,19,9,10,3,10
Baches-1.0-SNAPSHOT,com.mycompany.baches.boundary,JavaEE8Resource,7,0,0,0,4,0,2,0,2,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.boundary,JAXRSConfiguration,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.configuration,JakartaRestConfiguration,0,3,0,0,0,1,0,1,0,1
Baches-1.0-SNAPSHOT,com.mycompany.baches.configuration,CorsFilter,24,0,0,0,6,0,2,0,2,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.configuration,JakartaEE8Resource,7,0,0,0,4,0,2,0,2,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.configuration,tipoObjetoResource,43,0,0,0,12,0,4,0,4,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,AbstractDataAcces,4,244,2,28,1,86,2,22,0,9
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,ObjetoBean,57,0,8,0,15,0,8,0,4,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,BeanDePrueba,0,5,0,0,0,2,0,2,0,2
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,tipoObjetoBean,1,13,0,0,1,6,0,3,0,3
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,EstadoBean,0,7,0,0,0,3,0,2,0,2
